Time(s),Speed(kmph)
0,45.0
1,59.25
2,66.5625
3,69.178125
4,69.54140625
5,68.8451953125
6,67.735166015625
7,66.53832861328125
8,65.41010119628906
9,64.4143696105957
10,63.56801522369385
11,62.86520308662415
12,62.29038081064225
13,61.82501432613087
14,61.45089351013971
15,61.15159354930326
16,60.91297316728062
17,60.72319371880281
18,60.57252052085416
19,60.45304387706283
20,60.35838900413215
21,60.28344706600363
22,60.22413993741175
23,60.17722135175699
24,60.14011235517253
25,60.11076704156798
26,60.08756402782037
27,60.069219304546436
28,60.054716570258535
29,60.04325172006822
30,60.034188713780395
